Indicator,Disaggregations,Number of disaggregations
#1-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#1-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#1-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#1-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#1-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#1-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#1-5-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#1-5-4,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#1-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#1-a-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#10-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, INCOME_WEALTH_QUANTILE",5
#10-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#10-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#10-7-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#10-7-4,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#10-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, PRODUCT",5
#10-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#10-c-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#11-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#11-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, CUST_BREAKDOWN, CUST_BREAKDOWN_LB",6
#11-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, CUST_BREAKDOWN, CUST_BREAKDOWN_LB",6
#11-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#11-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#11-5-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#11-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, CUST_BREAKDOWN, CUST_BREAKDOWN_LB",6
#11-6-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#11-7-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, CUST_BREAKDOWN, CUST_BREAKDOWN_LB",6
#11-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#11-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#11-b-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#12-2-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER, PRODUCT",6
#12-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#12-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#12-4-2,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, BASE_PER, ACTIVITY",7
#12-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#12-8-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#12-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#12-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#12-c-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#13-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#13-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#13-1-3,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#13-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#14-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, CUST_BREAKDOWN, CUST_BREAKDOWN_LB",7
#14-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#14-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND",6
#14-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#14-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#15-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#15-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND",6
#15-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
