Indicator,Disaggregation combinations using this value
#1-5-1,9
#1-5-2,6
#1-5-3,1
#1-5-4,3
#1-a-1,1
#10-6-1,8
#10-a-1,7
#10-b-1,1
#10-c-1,1
#11-5-1,9
#11-5-2,6
#11-5-3,2
#11-b-1,1
#11-b-2,3
#12-2-2,51
#12-a-1,7
#12-c-1,3
#13-1-1,9
#13-1-2,1
#13-1-3,3
#15-2-1,1
#15-a-1,1
#15-b-1,1
#16-1-1,6
#16-7-1,1
#16-8-1,8
#17-11-1,4
#17-12-1,14
#17-13-1,15
#17-18-1,2
#17-3-1,5
#17-3-2,1
#17-4-1,1
#17-6-1,8
#17-8-1,1
#17-9-1,1
#2-2-3,3
#2-4-1,2
#2-a-1,3
#2-a-2,1
#2-c-1,1
#3-1-1,1
#3-2-1,12
#3-2-2,2
#3-3-1,13
#3-3-2,1
#3-3-3,1
#3-3-5,1
#3-b-1,3
#3-b-2,2
#3-d-1,15
#4-5-1,1
#4-a-1,14
#4-b-1,1
#4-c-1,3
#5-b-1,1
#6-5-1,5
#6-a-1,1
#7-1-1,3
#7-1-2,3
#7-a-1,8
#7-b-1,7
#8-1-1,1
#8-10-1,2
#8-4-2,51
#8-8-2,1
#8-9-1,1
#8-a-1,2
#9-2-1,1
#9-a-1,1
#9-c-1,4
