Indicator,Disaggregation combinations using this value
#1-1-1,8
#1-2-1,1
#1-3-1,24
#1-4-1,6
#1-4-2,6
#1-5-1,10
#1-5-2,7
#1-5-3,1
#1-5-4,3
#1-a-1,1
#1-a-2,5
#1-b-1,4
#10-1-1,2
#10-2-1,1
#10-3-1,3
#10-4-2,3
#10-5-1,7
#10-6-1,14
#10-7-2,7
#10-7-3,1
#10-7-4,1
#10-a-1,7
#10-b-1,1
#10-c-1,1
#11-1-1,1
#11-2-1,10
#11-3-1,9
#11-5-1,10
#11-5-2,7
#11-5-3,5
#11-6-1,5
#11-6-2,5
#11-7-1,19
#11-a-1,1
#11-b-1,1
#11-b-2,3
#12-2-2,45
#12-3-1,8
#12-4-1,5
#12-4-2,1
#12-a-1,7
#12-b-1,3
#12-c-1,3
#13-1-1,10
#13-1-2,1
#13-1-3,3
#13-2-2,1
#14-1-1,1
#15-1-1,2
#15-1-2,2
#15-2-1,3
#15-3-1,1
#15-4-1,1
#15-5-1,1
#15-6-1,5
#15-8-1,4
#15-9-1,4
#15-a-1,1
#15-b-1,1
#16-1-1,2
#16-1-2,21
#16-10-1,2
#16-10-2,1
#16-2-3,1
#16-5-2,1
#16-6-1,1
#16-6-2,3
#16-7-1,28
#16-7-2,1
#16-8-1,14
#16-9-1,6
#16-a-1,2
#16-b-1,3
#17-1-1,2
#17-1-2,1
#17-10-1,14
#17-11-1,2
#17-12-1,10
#17-13-1,18
#17-15-1,4
#17-16-1,1
#17-17-1,2
#17-18-1,3
#17-18-2,1
#17-18-3,1
#17-19-1,1
#17-3-1,6
#17-3-2,1
#17-4-1,1
#17-5-1,5
#17-6-1,8
#17-7-1,5
#17-8-1,3
#17-9-1,1
#2-2-1,6
#2-2-2,8
#2-2-3,3
#2-a-2,1
#2-c-1,1
#3-1-1,1
#3-1-2,1
#3-2-1,12
#3-2-2,2
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,1
#3-4-1,3
#3-4-2,3
#3-5-1,3
#3-5-2,1
#3-6-1,2
#3-7-1,1
#3-7-2,2
#3-8-1,1
#3-8-2,2
#3-9-1,3
#3-9-2,1
#3-9-3,3
#3-a-1,3
#3-b-1,4
#3-b-2,2
#3-c-1,8
#3-d-1,41
#3-d-2,2
#4-1-2,162
#4-2-2,3
#4-3-1,12
#4-5-1,145
#4-a-1,17
#4-b-1,1
#4-c-1,15
#5-1-1,4
#5-2-1,2
#5-3-1,2
#5-3-2,1
#5-4-1,6
#5-5-1,3
#5-5-2,2
#5-6-1,4
#5-6-2,18
#5-b-1,1
#5-c-1,1
#6-1-1,3
#6-2-1,9
#6-3-1,16
#6-3-2,3
#6-4-1,4
#6-4-2,4
#6-5-1,5
#6-5-2,2
#6-6-1,22
#6-a-1,1
#6-b-1,4
#7-1-1,3
#7-1-2,3
#7-2-1,1
#7-3-1,1
#7-a-1,8
#7-b-1,7
#8-1-1,1
#8-10-1,2
#8-10-2,13
#8-2-1,1
#8-3-1,9
#8-4-2,45
#8-5-1,65
#8-5-2,18
#8-6-1,3
#8-7-1,6
#8-9-1,1
#8-a-1,2
#8-b-1,1
#9-1-1,1
#9-1-2,2
#9-2-1,3
#9-2-2,1
#9-3-2,1
#9-4-1,4
#9-5-1,1
#9-5-2,1
#9-a-1,1
#9-b-1,1
#9-c-1,4
