Value,Disaggregation combinations using this value,Number of indicators
ABT2_INSUFNT,1,1
DL_EXTREME,2,1
DL_HIGH,2,1
DL_LOW,2,1
DL_MEDIUM,2,1
FCC_E,1,1
FCC_H,1,1
FCC_M,1,1
FWS_HHS,2,1
FWS_OOHC,2,1
FWS_RTL,2,1
IHR_01,1,1
IHR_02,1,1
IHR_03,1,1
IHR_04,1,1
IHR_05,1,1
IHR_06,1,1
IHR_07,1,1
IHR_08,1,1
IHR_09,1,1
IHR_10,1,1
IHR_11,1,1
IHR_12,1,1
IHR_13,1,1
IO_AFDB,4,2
IO_ECOSOC,4,2
IO_IBRD,4,2
IO_IFC,4,2
IO_IMF,4,2
IO_UNGA,4,2
IO_UNSC,4,2
IS_256KT2M,2,1
IS_2MT10M,2,1
IS_GE10M,2,1
LC_ART,6,1
LC_CRP,6,1
LC_GRS,6,1
LC_IWB,6,1
LC_MGCI,6,1
LC_PSG,6,1
LC_SAF,6,1
LC_SHR,6,1
LC_SNV,6,1
LC_TBL,6,1
LC_TRE,6,1
MOT_AIR,2,1
MOT_SEA,1,1
None,225,14
OFDI_DIRECTCPART,1,1
OFDI_FISFINSUP,1,1
OFDI_INVFACSERV,1,1
OFDI_INVGUA,1,1
PC_DEFENCE,2,1
PC_FINANCE,2,1
PC_FOR_AFF,3,1
PC_GEN_EQU,2,1
PC_HUM_RIGH,3,1
SKILL_DLDONLD,16,2
SKILL_FONLCRS,16,2
SKILL_GSINF,16,2
SKILL_GSPUR,16,2
SKILL_HLTHINF,16,2
SKILL_ICTATCH,16,2
SKILL_ICTCDV,16,2
SKILL_ICTCPT,16,2
SKILL_ICTPRGM,16,2
SKILL_ICTPST,16,2
SKILL_ICTSFWR,16,2
SKILL_ICTSSHT,16,2
SKILL_INTBNK,16,2
SKILL_MATH,15,2
SKILL_ONLCNS,16,2
SKILL_ONLSFT,16,2
SKILL_READ,7,2
SKILL_SNTWK,16,2
SKILL_VOIP,16,2
SPAR2_C01,1,1
SPAR2_C02,1,1
SPAR2_C03,1,1
SPAR2_C04,1,1
SPAR2_C05,1,1
SPAR2_C06,1,1
SPAR2_C07,1,1
SPAR2_C08,1,1
SPAR2_C09,1,1
SPAR2_C10,1,1
SPAR2_C11,1,1
SPAR2_C12,1,1
SPAR2_C13,1,1
SPAR2_C14,1,1
SPAR2_C15,1,1
SPAR_01,1,1
SPAR_02,1,1
SPAR_03,1,1
SPAR_04,1,1
SPAR_05,1,1
SPAR_06,1,1
SPAR_07,1,1
SPAR_08,1,1
SPAR_09,1,1
SPAR_10,1,1
SPAR_11,1,1
SPAR_12,1,1
SPAR_13,1,1
SUD_ATS,1,1
SUD_DRUG_TOTAL,3,1
TRT_BIOENERGY,3,3
TRT_GEOTHERMAL,3,3
TRT_HYDROPOWER,3,3
TRT_MARINE,3,3
TRT_MULTIPLE,1,1
TRT_SOLAR,3,3
TRT_WIND,3,3
WT_COMPOST,2,1
WT_INCINRT,3,1
WT_INCINRT_EGY,2,1
WT_LANDFILCTL,1,1
WT_OTHERWM,2,1
WT_RECYCL,1,1
