Value,Disaggregation combinations using this value,Number of indicators
Adrar,1,1
Albania,1,1
Algeria,1,1
Annaba,4,3
Batna,4,3
Blida (El Boulaïda),4,3
Béjaïa,4,3
Chlef,4,3
Constantine (Qacentina),4,3
Croatia,1,1
Cyprus,1,1
Djelfa,5,4
Egypt,1,1
El Djazaïr (Algiers),5,4
El Khroub,4,3
France,1,1
Greece,1,1
Holy See,1,1
Israel,1,1
Italy,1,1
Jordan,1,1
Khemis Miliana,4,3
Lebanon,1,1
Libya,1,1
Malta,1,1
Mila,4,3
Montane,25,1
Morocco,1,1
Mostaganem (Mestghanem),4,3
M'Sila,4,3
Oran (Wahran),5,4
Remaining mountain area,25,1
Spain,1,1
State of Palestine,1,1
Syrian Arab Republic,1,1
Sétif,4,3
Tamanrasset (Tamenghasset),4,3
Tiaret (Tihert),4,3
Tolga,4,3
Tunisia,1,1
Turkey,1,1
Tébessa,4,3
