Value,Disaggregation combinations using this value,Number of indicators
2000-2018,2,1
2000-2021,8,1
2001,1,1
2005,30,1
2008,7,3
2009,4,2
2010-2020,10,2
2010,3,1
2011,21,3
2012-2024,1,1
2012,2,1
2013,9,2
2014-2024,1,1
2015,23,11
2016-2018,2,1
2016-2019,3,2
2016,259,12
2017-2021,11,1
2017,16,4
2018-2022,8,2
2018,23,11
2019-2023,4,1
2019,95,22
2020-2021,7,1
2020-2023,1,1
2020-2024,5,1
2020,100,18
2021-2021,3,1
2021-2022,1,1
2021,262,29
2022-2024,14,2
2022,135,30
2023-2024,2,1
2023,303,57
2024,70,30
2025,19,2
31 December 2024,1,1
Q1 2022 - Q4 2022,2,1
