Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.005979
2001,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.018728
2002,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.006317
2003,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.007985
2004,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.011351
2005,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.020433
2006,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.00862
2007,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.006938
2008,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.014125
2009,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.008971
2010,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.008664
2011,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.011953
2012,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.002948
2013,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.006433
2014,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.003372
2015,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.003313
2016,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.005702
2017,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.003136
2018,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.003994
2019,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.006488
2020,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.037564
2021,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.015563
2022,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.002796
2023,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,12,PT,2025-05-19T00:00:00,2023,0.001613
