Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,21.14155081
2010,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,18.31
2011,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,14.39830596
2012,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,11.72638145
2013,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,10.56397122
2014,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,9.934960475
2015,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,9.767345351
2016,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,12.08915906
2017,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,12.95850229
2018,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,12.69740126
2019,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,14.75576106
2020,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,16.36388963
2021,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,19.64159892
2022,A,0,IMF,FI_FSI_FSANL,12,PT,2025-03-26T00:00:00,2022,20.26175373
2009,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-8.280794047
2010,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-7.17535386
2011,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-4.029040166
2012,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-3.066461125
2013,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,0.462815965
2014,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-1.348366761
2015,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-0.506905794
2016,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-0.788456749
2017,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,-0.709508198
2018,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,1.46896297
2019,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,0.21116468
2020,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,1.434514779
2021,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,1.722197798
2022,A,0,IMF,FI_FSI_FSERA,12,PT,2025-03-26T00:00:00,2022,1.473126866
2009,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,7.220962429
2010,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,7.730322364
2011,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,7.527960801
2012,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,7.969483112
2013,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,7.939678627
2014,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,7.937628143
2015,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,9.010556099
2016,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,9.870975943
2017,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,9.778615631
2018,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,9.949519914
2019,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,9.325482103
2020,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,9.656757112
2021,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,9.171322941
2022,A,0,IMF,FI_FSI_FSKA,12,PT,2025-03-26T00:00:00,2022,8.431163308
2009,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,33.88
2010,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,21.05999966
2011,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,17.89200822
2012,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,16.11013013
2013,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,17.12296075
2014,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,24.77402255
2015,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,26.47357917
2016,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,34.99771931
2017,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,36.42284717
2018,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,39.34606241
2019,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,52.57426318
2020,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,59.56024516
2021,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,58.14628675
2022,A,0,IMF,FI_FSI_FSKNL,12,PT,2025-03-26T00:00:00,2022,59.615463
2009,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,19.08996112
2010,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,17.66603418
2011,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,17.00375113
2012,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,17.47560665
2013,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,15.50124223
2014,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,13.17807448
2015,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,15.76373667
2016,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,16.24903889
2017,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,15.02740799
2018,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,14.97835266
2019,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,14.26046379
2020,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,15.38355044
2021,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,17.72315792
2022,A,0,IMF,FI_FSI_FSKRTC,12,PT,2025-03-26T00:00:00,2022,17.24386869
2009,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,114.5359588
2010,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,114.3023661
2011,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,103.7263712
2012,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,107.4929476
2013,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,93.52443497
2014,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,82.06461952
2015,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,61.6384269
2016,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,58.39188932
2017,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,53.69584058
2018,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,47.44521435
2019,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,44.22582425
2020,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,37.14013266
2021,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,102.0639379
2022,A,0,IMF,FI_FSI_FSLS,12,PT,2025-03-26T00:00:00,2022,108.5285824
