Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,63.81579
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,50.58352
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,65.10034
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,60.19766
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,64.14357
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,65.06725
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,54.62042
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,56.53595
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,61.00995
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,61.1691
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,None,PT,2025-03-26T00:00:00,2023,60.41184
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,36.7893
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,32.92383
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,44.96124
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,43.38747
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,51.74927
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,52.52976
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,43.97759
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,47.42698
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.84833
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,51.16537
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_AGR,PT,2025-03-26T00:00:00,2023,53.06748
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,50.0
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,100.0
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,100.0
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,100.0
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,50.0
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,50.0
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.0
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.0
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,100.0
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.0
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_ARMS,PT,2025-03-26T00:00:00,2023,100.0
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,77.77778
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,37.2549
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,25.45455
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,37.70492
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,46.875
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,49.18033
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,26.66667
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,46.37681
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,57.21154
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,55.625
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_CLTH,PT,2025-03-26T00:00:00,2023,65.87302
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,68.23266
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,54.11081
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,71.61374
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,65.1497
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,68.74683
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,69.48187
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,58.37923
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,60.00852
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,65.3776
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,64.79358
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_IND,PT,2025-03-26T00:00:00,2023,63.20827
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,71.42857
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,87.5
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,83.33333
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,100.0
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,93.75
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,93.75
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,85.0
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,81.25
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,83.33333
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,85.71429
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_OIL,PT,2025-03-26T00:00:00,2023,71.42857
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,50.57471
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,27.58621
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,55.81395
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,58.49057
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,65.33333
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,71.42857
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,58.64662
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,52.77778
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,57.40741
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,62.14286
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,12,AGG_TXT,PT,2025-03-26T00:00:00,2023,53.8961
