Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,681.7106430000001
2001,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,1048.5706429999998
2002,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,1089.3299999999997
2003,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,1642.0116669999998
2004,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,1674.044667
2005,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,1920.234667
2006,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,2017.9060000000004
2007,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,2519.764108
2008,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,3178.787747
2009,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,4069.688848999999
2010,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,3023.8099999999995
2011,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,3512.69249
2012,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,3324.870336
2013,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,3864.3819945356304
2014,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,3874.430731
2015,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,4096.661153483316
2016,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,4945.307198996723
2017,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,5262.077604739448
2018,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,5406.974956267608
2019,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,4793.871826004784
2020,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,5470.443505475198
2021,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,3869.1193701587945
2022,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,4534.337625770238
2023,DC_TRF_TOTL,231,USD,2025-05-19T00:00:00,A,6,2023,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,5154.104393326719
