Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2010,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.26304
2011,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.38095
2012,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.08561
2013,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.07112
2014,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.94154
2015,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.11803
2016,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.17223
2017,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.2304
2018,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.23241
2019,EN_ATM_PM25,231,None,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.80471
2010,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.88429
2011,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.97771
2012,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.66909
2013,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.71126
2014,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.63093
2015,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.76938
2016,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.82377
2017,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.85376
2018,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.91782
2019,EN_ATM_PM25,231,CITY,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.49859
2010,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.39274
2011,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.52474
2012,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.23128
2013,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.18925
2014,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.01313
2015,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.20638
2016,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.26338
2017,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.35071
2018,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,21.30934
2019,EN_ATM_PM25,231,R,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,20.87127
2010,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.60805
2011,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.71828
2012,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.43461
2013,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.42432
2014,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.3606
2015,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.539
2016,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.58518
2017,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.59867
2018,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.64139
2019,EN_ATM_PM25,231,TSUB,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.23134
2010,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.32182
2011,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.42238
2012,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.12451
2013,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.14327
2014,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.07001
2015,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.22585
2016,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.27637
2017,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.29882
2018,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,23.3532
2019,EN_ATM_PM25,231,U,GPERM3,2023-02-27T00:00:00,A,0,2019,WHO,22.93779
