Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,COMMENT_OBS,Value
2014,A,0,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",EN_EWT_COLLR,12,None,None,PT,2025-03-21T00:00:00,2020,,,10.0
2020,A,0,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",EN_EWT_COLLR,12,None,None,PT,2025-03-21T00:00:00,2020,,,16.02879
2019,A,0,"Office National des Statistiques, Algérie",EN_HAZ_EXP,12,None,None,T,2025-03-21T00:00:00,2021,,,67696.65
2020,A,0,"Office National des Statistiques, Algérie",EN_HAZ_EXP,12,None,None,T,2025-03-21T00:00:00,2021,,,0.0
2021,A,0,"Office National des Statistiques, Algérie",EN_HAZ_EXP,12,None,None,T,2025-03-21T00:00:00,2021,,,20302.08
2003,A,0,UNEP / WESR,EN_HAZ_GENGDP,12,None,None,KG_PER_CON_USD,2025-03-21T00:00:00,2007,2015,,0.00289
2007,A,0,UNEP / WESR,EN_HAZ_GENGDP,12,None,None,KG_PER_CON_USD,2025-03-21T00:00:00,2007,2015,,0.00249
2003,A,0,"Office National des Statistiques, Algérie",EN_HAZ_GENV,12,None,None,T,2025-03-21T00:00:00,2007,,Quantity of hazardous waste in permanent storage.,325000.0
2007,A,0,"Office National des Statistiques, Algérie",EN_HAZ_GENV,12,None,None,T,2025-03-21T00:00:00,2007,,Quantity of hazardous waste in permanent storage.,325100.0
2000,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2001,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2003,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2004,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2005,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2006,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2007,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2008,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2009,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2010,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2011,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2012,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
2013,A,0,"Office National des Statistiques, Algérie",EN_HAZ_IMP,12,None,None,T,2025-03-21T00:00:00,2017,,,0.0
