Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2007,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,91.595
2008,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,95.9461
2009,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,94.817
2010,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,110.6726
2011,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,108.2006
2012,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,103.0607
2013,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,98.8874
2014,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,101.4979
2015,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,105.4633
2016,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,105.658
2017,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,101.0261
2018,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,98.9306
2019,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,97.4035
2020,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,95.741
2021,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,96.5779
2022,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,110.6473
2023,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,92.036
2024,GF_XPD_GBPC,231,PT,2025-03-20T00:00:00,A,0,2024,"data provided by WB Economists, MOF .",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,99.4362
