Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,None,PT,2025-03-24T00:00:00,2022,47
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,None,PT,2025-03-24T00:00:00,2022,38
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,None,PT,2025-03-24T00:00:00,2022,52
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,None,PT,2025-03-24T00:00:00,2022,30
2020,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,None,PT,2025-03-24T00:00:00,2022,34
2021,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,None,PT,2025-03-24T00:00:00,2022,41
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,None,PT,2025-03-24T00:00:00,2022,44
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,F,PT,2025-03-24T00:00:00,2022,49
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,F,PT,2025-03-24T00:00:00,2022,40
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,F,PT,2025-03-24T00:00:00,2022,53
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,F,PT,2025-03-24T00:00:00,2022,35
2020,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,F,PT,2025-03-24T00:00:00,2022,35
2021,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,F,PT,2025-03-24T00:00:00,2022,42
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,F,PT,2025-03-24T00:00:00,2022,47
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,M,PT,2025-03-24T00:00:00,2022,45
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,M,PT,2025-03-24T00:00:00,2022,35
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,M,PT,2025-03-24T00:00:00,2022,51
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,M,PT,2025-03-24T00:00:00,2022,25
2020,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,M,PT,2025-03-24T00:00:00,2022,33
2021,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,M,PT,2025-03-24T00:00:00,2022,40
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,12,M,PT,2025-03-24T00:00:00,2022,41
