Year,SERIES,REF_AREA,SEX,AGE,OCCUPATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2021,SG_DMK_PARLCC_LC,231,_X,_X,None,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,A,0,2022,"Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",0.0
2022,SG_DMK_PARLCC_LC,231,_X,_X,None,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,A,0,2022,"Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",0.0
2021,SG_DMK_PARLCC_LC,231,_X,_X,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,A,0,2022,"Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",0.0
2022,SG_DMK_PARLCC_LC,231,_X,_X,None,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,A,0,2022,"Bicameral: Lower chamber (House of Peoples' Representatives), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",0.0
2021,SG_DMK_PARLCC_LC,231,F,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,A,0,2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,SG_DMK_PARLCC_LC,231,F,Y_GE46,None,PC_FINANCE,NUMBER,2025-07-10T00:00:00,A,0,2022,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2021,SG_DMK_PARLCC_LC,231,F,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2022,SG_DMK_PARLCC_LC,231,F,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2023,SG_DMK_PARLCC_LC,231,F,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2024,SG_DMK_PARLCC_LC,231,F,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
2025,SG_DMK_PARLCC_LC,231,F,Y_GE46,None,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,A,0,2025,"Bicameral: Lower chamber (House of Peoples' Representatives), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",1.0
