Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.2987
2005,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.2987
2010,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.2987
2014,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.26582
2015,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.25
2016,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.25
2017,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.25
2018,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.25
2019,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.25
2020,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.23457
2021,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.23457
2022,SG_INT_MBRDEV,231,IO_AFDB,PT,2024-05-07T00:00:00,A,0,2022,African Development Bank Group Annual Report 2022,1.23457
2019,SG_INT_MBRDEV,231,IO_ECOSOC,PT,2024-05-07T00:00:00,A,0,2021,Report of the Economic and Social Council on its 2021 Session (A/76/3),1.85185
2020,SG_INT_MBRDEV,231,IO_ECOSOC,PT,2024-05-07T00:00:00,A,0,2021,Report of the Economic and Social Council on its 2021 Session (A/76/3),1.85185
2021,SG_INT_MBRDEV,231,IO_ECOSOC,PT,2024-05-07T00:00:00,A,0,2021,Report of the Economic and Social Council on its 2021 Session (A/76/3),1.85185
2000,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.54945
2005,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.54348
2010,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.53476
2015,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.53191
2016,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.53191
2017,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2018,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2019,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2020,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2021,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2022,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2023,SG_INT_MBRDEV,231,IO_IBRD,PT,2024-05-07T00:00:00,A,0,2023,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",0.5291
2000,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.57471
2005,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.5618
2010,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.54945
2015,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.54348
2016,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.54348
2017,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.54348
2018,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.54348
2019,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.5435
2020,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.54054
2021,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.54054
2022,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.53763
2023,SG_INT_MBRDEV,231,IO_IFC,PT,2024-05-07T00:00:00,A,0,2023,IFC 2023 Annual Report Volume 2,0.53763
2000,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.5618
2005,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.55249
2010,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.54945
2015,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.53191
2016,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.53191
2017,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.5291
2018,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.5291
2019,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.5291
2020,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.5291
2021,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.52632
2022,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.52632
2023,SG_INT_MBRDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.52632
2000,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52356
2010,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52083
2015,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2016,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2017,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2018,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2019,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2020,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2021,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2022,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2023,SG_INT_MBRDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
