Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,0
2005,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,0
2010,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,0
2015,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,1
2016,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,1
2017,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,1
2018,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,1
2019,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,1
2020,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,1
2021,SG_NHR_CMPLNC,231,NUMBER,2025-03-17T00:00:00,A,0,2024,Name of NHRI - Ethiopian Human Rights Commission,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,2
