Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,None,PT,2025-03-26T00:00:00,2019,11.97944
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,None,PT,2025-03-26T00:00:00,2019,11.99699
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,None,PT,2025-03-26T00:00:00,2019,12.39331
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,None,PT,2025-03-26T00:00:00,2019,12.49107
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,None,PT,2025-03-26T00:00:00,2019,11.92683
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,None,PT,2025-03-26T00:00:00,2019,12.74896
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,None,PT,2025-03-26T00:00:00,2019,12.76459
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.98185
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.70573
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.82045
2016,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,11.32702
2017,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.57107
2018,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.84893
2019,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_AGR,PT,2025-03-26T00:00:00,2019,10.85049
2005,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,30.0
2010,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,30.0
2015,A,0,"Market Access Map data, International Trade Centre (ITC)",TM_TAX_WMFN,12,AGG_CLTH,PT,2025-03-26T00:00:00,2019,30.0
