Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,Value
2000,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,0.163268897783397
2001,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-4.53620596538169
2002,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-1.74046524518376
2003,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-1.58150719828577
2004,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-6.59189372254429
2005,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-12.6419842587598
2006,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-11.6871605564419
2007,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-4.20144598076542
2008,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-6.67139557726763
2009,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-6.75348362103612
2010,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-2.1222608717343
2011,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-3.30367964138338
2012,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-7.10674868080213
2013,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-6.36626399169653
2014,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-10.3781721184148
2015,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-11.7149020637799
2016,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-10.640419267884
2017,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-7.25029143899611
2018,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-5.47209883044265
2019,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-5.23928384636561
2020,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-2.52541427273292
2021,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-4.05104445487667
2022,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-4.07059182048539
2023,BN_CAB_XOKA_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,-2.92468913307886
2000,BX_KLT_DINV_WD_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,1.63351478937744
2001,BX_KLT_DINV_WD_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,4.24475958430851
2002,BX_KLT_DINV_WD_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,3.2480726995032
2003,BX_KLT_DINV_WD_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,5.39212251252315
2004,BX_KLT_DINV_WD_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,5.38041579859625
2005,BX_KLT_DINV_WD_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,2.13780093729558
2006,BX_KLT_DINV_WD_GD_ZS,231,PT,2025-03-19T00:00:00,A,0,2023,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,3.56823527416241
