Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2016,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,40.925
2017,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,41.875
2018,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,35.78333
2019,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,34.08333
2020,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,35.18333
2021,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,36.88333
2022,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,39.20833
2023,IQ_SPI_PIL4,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,35.04167
2016,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,15.0
2017,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,15.0
2018,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,15.0
2019,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,15.0
2020,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,15.0
2021,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,40.0
2022,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,40.0
2023,IQ_SPI_PIL5,231,IX,2025-05-19T00:00:00,A,0,2023,World Bank Development Data Group,45.0
2022,SG_STT_ODIN,231,IX,2025-04-29T00:00:00,A,0,2024,Open Data Inventory (ODIN) 2024/2025,37.2
2024,SG_STT_ODIN,231,IX,2025-04-29T00:00:00,A,0,2024,Open Data Inventory (ODIN) 2024/2025,44.6
