Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",56.9
2001,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",55.9
2002,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",54.9
2003,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",53.9
2004,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",52.8
2005,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",51.6
2006,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",50.4
2007,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",49.0
2008,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",47.5
2009,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",46.0
2010,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",44.6
2011,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",43.2
2012,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",42.1
2013,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",41.2
2014,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",40.4
2015,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",39.6
2016,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.8
2017,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.0
2018,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",37.2
2019,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",36.5
2020,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.9
2021,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.6
2022,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.6
2023,SH_STA_STNT,231,None,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,40.1,31.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",35.6
