Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2014,SI_AGR_LSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,1318.41
2016,SI_AGR_LSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,1750.65
2019,SI_AGR_LSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,2505.83
2014,SI_AGR_LSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,1221.13
2016,SI_AGR_LSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,1690.12
2019,SI_AGR_LSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,2239.37
2014,SI_AGR_LSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,1334.66
2016,SI_AGR_LSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,1761.37
2019,SI_AGR_LSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,2539.25
2014,SI_AGR_SSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,597.01
2016,SI_AGR_SSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,714.06
2019,SI_AGR_SSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,840.98
2014,SI_AGR_SSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,454.42
2016,SI_AGR_SSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,503.8
2019,SI_AGR_SSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,580.94
2014,SI_AGR_SSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,645.56
2016,SI_AGR_SSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,788.64
2019,SI_AGR_SSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,940.03
