Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2010,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,-1.46
2011,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,0.78
2012,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,0.32
2013,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,-0.35
2014,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,-0.29
2015,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,0.38
2016,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,-0.16
2017,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,0.0
2018,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,-0.28
2019,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,0.52
2020,AG_FPA_CFPI,231,None,IX,2025-03-21T00:00:00,A,0,2023,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,0.46
