Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.2
2001,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.0
2002,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.89
2003,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.78
2004,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.7
2005,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.62
2006,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.54
2007,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.5
2008,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.45
2009,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.41
2010,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.36
2011,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.32
2012,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.28
2013,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.24
2014,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.22
2015,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.19
2016,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.17
2017,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.15
2018,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.14
2019,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.12
2020,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.1
2021,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.11
2022,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.081
2023,SH_HIV_INCD,231,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.07
2000,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.6
2001,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.52
2002,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.45
2003,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.4
2004,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.36
2005,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.31
2006,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.28
2007,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.25
2008,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.22
2009,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.2
2010,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.18
2011,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.15
2012,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.14
2013,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.12
2014,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.11
2015,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.092
2016,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.081
2017,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.069
2018,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.062
2019,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.055
2020,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.049
2021,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.049
2022,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.037
2023,SH_HIV_INCD,231,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.033
2000,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.85
2001,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.75
2002,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.66
2003,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.58
2004,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.51
2005,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.45
2006,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.39
2007,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.35
2008,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.29
2009,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.27
2010,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.23
2011,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.19
2012,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.15
2013,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.12
2014,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.11
2015,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.097
2016,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.098
2017,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.093
2018,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.079
2019,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.068
2020,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.049
2021,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.047
2022,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.039
2023,SH_HIV_INCD,231,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.028
2000,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.6
2001,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.4
2002,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.2
2003,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.1
2004,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.95
2005,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.83
2006,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.73
2007,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.68
2008,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.65
2009,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.57
2010,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.51
2011,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.45
2012,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.41
2013,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.37
2014,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.33
2015,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.29
2016,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.25
2017,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.22
2018,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.2
2019,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.18
2020,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.16
2021,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.16
2022,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.12
2023,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.11
2000,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.6
2001,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.4
2002,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.2
