Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.01873
2001,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00326
2002,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00536
2003,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00265
2004,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00104
2005,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00051
2006,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00051
2007,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.01295
2008,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00147
2009,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2010,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00047
2011,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00046
2012,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.02487
2013,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.00355
2014,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2015,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2016,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2017,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2018,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2019,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2020,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2021,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2022,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
2023,A,0,0,0,WMR,SH_STA_MALR,12,PER_1000_POP,2025-02-12T00:00:00,2023,0.0
