Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,3.3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,None,PER_100000_POP,2025-03-13T00:00:00,2021,4.2
2005,A,0,3.3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,None,PER_100000_POP,2025-03-13T00:00:00,2021,3.3
2010,A,0,3.3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,None,PER_100000_POP,2025-03-13T00:00:00,2021,2.6
2015,A,0,3.3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,None,PER_100000_POP,2025-03-13T00:00:00,2021,2.2
2019,A,0,3.3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,None,PER_100000_POP,2025-03-13T00:00:00,2021,2.0
2020,A,0,3.3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,None,PER_100000_POP,2025-03-13T00:00:00,2021,1.7
2021,A,0,3.3,1.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,None,PER_100000_POP,2025-03-13T00:00:00,2021,2.2
2000,A,0,2.1,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.7
2005,A,0,2.1,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.2
2010,A,0,2.1,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,F,PER_100000_POP,2025-03-13T00:00:00,2021,1.7
2015,A,0,2.1,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,F,PER_100000_POP,2025-03-13T00:00:00,2021,1.5
2019,A,0,2.1,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,F,PER_100000_POP,2025-03-13T00:00:00,2021,1.4
2020,A,0,2.1,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,F,PER_100000_POP,2025-03-13T00:00:00,2021,1.3
2021,A,0,2.1,0.7,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,F,PER_100000_POP,2025-03-13T00:00:00,2021,1.3
2000,A,0,4.5,1.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,M,PER_100000_POP,2025-03-13T00:00:00,2021,5.6
2005,A,0,4.5,1.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,M,PER_100000_POP,2025-03-13T00:00:00,2021,4.4
2010,A,0,4.5,1.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,M,PER_100000_POP,2025-03-13T00:00:00,2021,3.5
2015,A,0,4.5,1.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,M,PER_100000_POP,2025-03-13T00:00:00,2021,2.8
2019,A,0,4.5,1.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,M,PER_100000_POP,2025-03-13T00:00:00,2021,2.7
2020,A,0,4.5,1.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,M,PER_100000_POP,2025-03-13T00:00:00,2021,2.1
2021,A,0,4.5,1.8,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,12,M,PER_100000_POP,2025-03-13T00:00:00,2021,3.0
