Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,COMMENT_OBS,Value
2000,SH_PRV_SMOK,231,None,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,6.8,3.7,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,6.3
2005,SH_PRV_SMOK,231,None,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,6.8,3.7,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,6.0
2010,SH_PRV_SMOK,231,None,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,6.8,3.7,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,5.8
2015,SH_PRV_SMOK,231,None,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,6.8,3.7,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,5.5
2020,SH_PRV_SMOK,231,None,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,6.8,3.7,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,5.3
2022,SH_PRV_SMOK,231,None,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,6.8,3.7,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,5.2
2000,SH_PRV_SMOK,231,F,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,2,1,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,1.6
2005,SH_PRV_SMOK,231,F,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,2,1,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,1.6
2010,SH_PRV_SMOK,231,F,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,2,1,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,1.6
2015,SH_PRV_SMOK,231,F,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,2,1,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,1.5
2020,SH_PRV_SMOK,231,F,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,2,1,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,1.5
2022,SH_PRV_SMOK,231,F,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,2,1,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,1.5
2000,SH_PRV_SMOK,231,M,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,11.6,6.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,11.0
2005,SH_PRV_SMOK,231,M,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,11.6,6.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,10.4
2010,SH_PRV_SMOK,231,M,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,11.6,6.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,10.0
2015,SH_PRV_SMOK,231,M,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,11.6,6.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,9.5
2020,SH_PRV_SMOK,231,M,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,11.6,6.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,9.2
2022,SH_PRV_SMOK,231,M,Y_GE15,PT,2024-03-26T00:00:00,A,0,2022,11.6,6.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,The most recent survey was conducted in 2016. This is a projection.,9.0
