Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",2.03
2001,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",7.69
2002,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",7.68
2003,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",7.68
2004,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",7.68
2005,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",7.68
2006,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",21.43
2007,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",21.93
2008,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",21.93
2009,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",21.93
2010,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",21.93
2011,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",27.79
2012,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",27.79
2013,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",27.79
2014,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",27.79
2015,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",27.79
2016,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",38.76
2017,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",38.76
2018,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",38.76
2019,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",38.76
2020,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",38.76
2021,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",38.76
2022,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",41.49
2023,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",41.31
2024,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",41.31
2025,SG_GEN_PARL,231,F,PT,2025-04-21T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",41.91
2000,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",11.0
2001,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",42.0
2002,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",42.0
2003,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",42.0
2004,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",42.0
2005,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",42.0
2006,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",117.0
2007,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",116.0
2008,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",116.0
2009,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",116.0
2010,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",116.0
2011,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
2012,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
2013,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
2014,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
2015,SG_GEN_PARLN,231,F,NUMBER,2025-05-19T00:00:00,A,0,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.","Inter-Parliamentary Union (IPU), Parline Database",152.0
