Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2014,SP_GNP_WNOWNS,231,None,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,49.0
2016,SP_GNP_WNOWNS,231,None,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,51.4
2019,SP_GNP_WNOWNS,231,None,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,50.4
2014,SP_LGL_LNDAGSEC,231,None,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,63.6
2016,SP_LGL_LNDAGSEC,231,None,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,65.8
2019,SP_LGL_LNDAGSEC,231,None,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,71.5
2014,SP_LGL_LNDAGSEC,231,F,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,61.8
2016,SP_LGL_LNDAGSEC,231,F,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,66.6
2019,SP_LGL_LNDAGSEC,231,F,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,71.1
2014,SP_LGL_LNDAGSEC,231,M,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,65.4
2016,SP_LGL_LNDAGSEC,231,M,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,65.1
2019,SP_LGL_LNDAGSEC,231,M,PT,2025-03-21T00:00:00,O,0,2023,NaN = A figure was not provided,NA,72.0
