Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,70.07852
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,70.64219
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,71.19186
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,71.72696
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,72.24755
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,72.75315
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,73.24435
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,73.72072
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,74.18282
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,74.62769
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_H2O_SAFE,12,None,PT,2023-09-12T00:00:00,2022,75.05681
