Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,0.596252
2001,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,23.051791
2002,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,1.605596
2003,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,3.954507
2004,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,2.755416
2005,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,50.220256
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,8.786661
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,7.022431
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,4.963581
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,16.688111
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,12.213761
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,18.680641
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,3.90645
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,11.751628
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,6.835832
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,5.490204
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,10.49977
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,4.388472
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,4.703054
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,8.428535
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,3.27592
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,1.300316
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,1.54165
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_WASHL,12,CON_USD,2025-05-19T00:00:00,2023,0.348586
