Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,Value
2000,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,12.7
2001,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,10.2
2002,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,11.9
2003,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,13.5
2004,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,15.2
2005,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,14.0
2006,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,18.6
2007,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,20.3
2008,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,22.0
2009,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,23.7
2010,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,25.5
2011,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,23.0
2012,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,29.0
2013,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,30.8
2014,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,27.2
2015,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,29.0
2016,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,42.9
2017,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,44.3
2018,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,44.8
2019,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,48.0
2020,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,51.1
2021,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,54.2
2022,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,55.4
2023,EG_ACS_ELEC,231,None,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,55.42445
2000,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,1.7
2003,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,1.4
2004,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,3.1
2005,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,0.6
2006,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,6.5
2007,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,8.2
2008,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,9.7
2009,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,11.3
2010,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,12.9
2011,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,9.6
2012,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,16.1
2013,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,17.8
2014,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,12.0
2015,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,15.5
2016,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,32.4
2017,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,31.0
2018,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,32.5
2019,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,36.0
2020,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,39.4
2021,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,42.8
2022,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,43.0
2023,EG_ACS_ELEC,231,R,PT,2025-05-19T00:00:00,A,0,2023,World Bank,Data point is not available,43.57587
2000,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,76.2
2001,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,79.3
2002,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,79.9
2003,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,80.6
2004,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,81.2
2005,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,85.7
2006,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,82.6
2007,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,83.3
2008,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,84.0
2009,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,84.8
2010,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,85.6
2011,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,85.2
2012,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,87.1
2013,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,87.8
2014,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,92.0
2015,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,85.0
2016,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,85.4
2017,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,96.6
2018,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,91.8
2019,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,92.7
2020,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,93.5
2021,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,94.3
2022,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,94.0
2023,EG_ACS_ELEC,231,U,PT,2025-05-19T00:00:00,A,0,2023,World Bank,,94.74216
