Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",1.56
2001,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",0.82
2002,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",99.15
2003,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",10.45
2004,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",0.74
2005,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",366.02
2006,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",0.46
2007,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",223.57
2008,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",0.33
2009,EG_IFF_RANDN,231,None,CON_USD,2025-03-14T00:00:00,A,6,2022,2023,"Commitments by recipient country, in million USD at 2022 prices and exchange rates (using donor country deflators). The aggregated figures only include the historical list of developing countries with a few modifications to account for the shifting nature of international public finance.","DAC Statistics database, 2025, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2025, The international Renewable Energy Agency (IRENA)",480.32
