Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,2.4
2001,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,1.6
2002,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,4.2
2003,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,5.8
2004,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,2.9
2005,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,4.4
2006,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,0.1
2007,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,1.7
2008,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,0.6
2009,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,-0.3
2010,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,1.6
2011,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,0.9
2012,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,1.4
2013,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,0.7
2014,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,1.7
2015,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,1.6
2016,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,1.1
2017,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,-0.7
2018,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,-0.7
2019,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,3.6
2020,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,-2.6
2021,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,6.3
2022,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,2.0
2023,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,12,PT,2025-03-13T00:00:00,2023,2.5
