Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.272412448
2005,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.512919216
2006,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.405519553
2007,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.74823971
2008,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.233020567
2009,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.367299795
2010,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.968367651
2011,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.13387612
2012,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.243939446
2013,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.556721077
2014,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.671707829
2015,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.424054883
2016,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.652640232
2017,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.210913387
2018,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.616676342
2019,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.393122766
2020,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.377800523
2021,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,9.369488014
2022,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.130128551
2023,A,0,IMF,FB_ATM_TOTL,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,11.95785187
2004,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.747414721
2005,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.753052154
2006,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.987052731
2007,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.104160304
2008,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.279250082
2009,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.206320064
2010,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.094290582
2011,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.211147529
2012,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.254726883
2013,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.252702807
2014,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.255336578
2015,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.303770707
2016,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.304704324
2017,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.270804839
2018,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.338041381
2019,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.348253479
2020,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.3028044
2021,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.305456253
2022,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.2884367
2023,A,0,IMF,FB_CBK_BRCH,12,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,5.26170703
