Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",2.9
2001,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",4.84
2002,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",-1.68
2003,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",-5.27
2004,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",9.74
2005,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",7.97
2006,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",7.17
2007,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",7.79
2008,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",7.04
2009,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",5.07
2010,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",8.53
2011,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",7.12
2012,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",4.66
2013,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",6.61
2014,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",8.53
2015,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",8.72
2016,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",7.86
2017,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",8.05
2018,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",5.54
2019,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",7.18
2020,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",6.9
2021,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",3.78
2022,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",2.72
2023,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",4.26
2024,SL_EMP_PCAP,231,Y_GE15,PT,2025-03-15T00:00:00,A,0,2024,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",2.99
