Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,SOURCE_DETAIL,Value
2000,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.84
2001,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.67
2002,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.66
2003,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.77
2004,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.54
2005,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.57
2006,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.56
2007,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.46
2008,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.45
2009,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.46
2010,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.43
2011,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.57
2012,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.68
2013,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,3.89
2014,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,4.11
2015,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,4.4
2016,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,4.85
2017,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.52
2018,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.52
2019,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.48
2020,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.56
2021,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.53
2022,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.5
2023,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.52
2024,NV_IND_MANF,231,ISIC4_C,PT,2025-02-26T00:00:00,A,0,2015,2024,UNIDO National Accounts Database. Available at https://stat.unido.org,5.58
2000,NV_IND_MANF_CD,231,ISIC4_C,PT,2025-02-27T00:00:00,A,0,,2023,UNIDO National Accounts Database. Available at https://stat.unido.org,5.57
