Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-401.313777
2001,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,67.18966699999993
2002,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-412.747
2003,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,2345.619457
2004,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-1360.837876
2005,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-1390.135876
2006,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-3694.165876
2007,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,2121.748124
2008,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,337.4600000000001
2009,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,3013.655744
2010,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,1301.35
2011,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,1634.8679712807002
2012,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-2543.575525
2013,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,1107.853649197804
2014,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,1302.6355152751548
2015,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,1989.4588728799329
2016,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,2380.386738969504
2017,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,2186.8904003108523
2018,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,1277.1694975440191
2019,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-2.539122023
2020,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-749.4991596
2021,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-655.2086492
2022,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,-3135.542081
2023,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,12,USD,2025-05-19T00:00:00,2023,2346.2280873981304
