Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2015,SG_HAZ_CMRBASEL,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Environmental Protection Authority,17.0
2020,SG_HAZ_CMRBASEL,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Environmental Protection Authority,60.0
2025,SG_HAZ_CMRBASEL,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Environmental Protection Authority,80.0
2025,SG_HAZ_CMRMNMT,231,PT,2025-03-25T00:00:00,A,0,2020-2024,World Environment Situation Room,33.33
2015,SG_HAZ_CMRMNTRL,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Ethiopia Environmental Protection Authority,100.0
2020,SG_HAZ_CMRMNTRL,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Ethiopia Environmental Protection Authority,100.0
2025,SG_HAZ_CMRMNTRL,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Ethiopia Environmental Protection Authority,100.0
2015,SG_HAZ_CMRROTDAM,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Ministry of Foreign Affairs / Environmental Protection Authority,65.0
2020,SG_HAZ_CMRROTDAM,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Ministry of Foreign Affairs / Environmental Protection Authority,55.0
2025,SG_HAZ_CMRROTDAM,231,PT,2025-03-21T00:00:00,A,0,2020-2024,Ministry of Foreign Affairs / Environmental Protection Authority,54.1
2015,SG_HAZ_CMRSTHOLM,231,PT,2025-03-21T00:00:00,A,0,2020-2024,World Environment Situation Room,50.0
2020,SG_HAZ_CMRSTHOLM,231,PT,2025-03-21T00:00:00,A,0,2020-2024,World Environment Situation Room,25.0
2025,SG_HAZ_CMRSTHOLM,231,PT,2025-03-21T00:00:00,A,0,2020-2024,World Environment Situation Room,40.0
