Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,13.38627
2011,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,16.99507
2012,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,21.17634
2013,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,22.41103
2014,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,20.68684
2015,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,12.18253
2016,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,6.6602
2017,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,9.14419
2018,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,17.10067
2019,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,13.34059
2020,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,7.46045
2021,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,22.40253
2022,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,54.68511
2023,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,12,USD,2025-03-21T00:00:00,2023,26.59593
2010,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,9.49536
2011,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,11.71546
2012,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,14.11779
2013,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,14.53398
2014,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,12.92467
2015,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,7.33979
2016,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,3.88825
2017,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,5.2699
2018,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,9.73846
2019,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,7.20213
2020,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,4.06364
2021,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,11.29945
2022,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,26.61802
2023,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,12,PT,2025-03-21T00:00:00,2023,12.44121
2010,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,373.33064
2011,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,465.06372
2012,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,568.33123
2013,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,589.75432
2014,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,533.71378
2015,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,308.08178
2016,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,165.10428
2017,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,222.2886
2018,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,407.86774
2019,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,12,USD,2025-03-21T00:00:00,2023,312.3868
