Year,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,CUST_BREAKDOWN_LB,Value
2015,ER_MTN_DGRDA,231,None,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,23540.0
2021,ER_MTN_DGRDA,231,None,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,33586.6
2015,ER_MTN_DGRDA,231,C02,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,4.1
2021,ER_MTN_DGRDA,231,C02,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,9.1
2015,ER_MTN_DGRDA,231,C03,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,2342.7
2021,ER_MTN_DGRDA,231,C03,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,3612.6
2015,ER_MTN_DGRDA,231,C04,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,21193.2
2021,ER_MTN_DGRDA,231,C04,None,KM2,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,29964.9
2015,ER_MTN_DGRDP,231,None,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,4.3
2021,ER_MTN_DGRDP,231,None,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,6.1
2015,ER_MTN_DGRDP,231,C02,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,1.1
2021,ER_MTN_DGRDP,231,C02,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,2.4
2015,ER_MTN_DGRDP,231,C03,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,4.5
2021,ER_MTN_DGRDP,231,C03,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Montane,6.9
2015,ER_MTN_DGRDP,231,C04,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,4.3
2021,ER_MTN_DGRDP,231,C04,None,PT,2025-03-21T00:00:00,E,0,2000-2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Remaining mountain area,6.0
2000,ER_MTN_GRNCOV,231,None,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,2777.4
2005,ER_MTN_GRNCOV,231,None,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,3455.2
2010,ER_MTN_GRNCOV,231,None,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,3817.0
2015,ER_MTN_GRNCOV,231,None,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,4962.1
