Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,0.93
2007,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,0.79
2008,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,0.94
2009,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,0.78
2010,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,0.7
2011,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,0.76
2012,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.39
2013,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.25
2014,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.47
2015,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.36
2016,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.33
2017,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.26
2018,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.34
2019,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.2
2020,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.48
2021,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRC,12,None,PER_100000_POP,2025-03-21T00:00:00,2023,1.55
