Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2005,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",11.67486
2010,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",9.50125
2015,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",10.57038
2016,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",10.57038
2017,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",11.46065
2018,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",11.45777
2019,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",11.17486
2020,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",11.56996
2021,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",10.96063
2022,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",10.5623
2023,TM_TAX_WMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",9.79319
2005,TM_TAX_WMFN,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",13.65325
2010,TM_TAX_WMFN,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",8.79128
2015,TM_TAX_WMFN,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",12.06786
2016,TM_TAX_WMFN,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",12.06786
2017,TM_TAX_WMFN,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",12.99034
2018,TM_TAX_WMFN,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",12.98058
2019,TM_TAX_WMFN,231,AGG_AGR,PT,2025-03-26T00:00:00,A,0,2023,"Market Access Map data, International Trade Centre (ITC)",13.331
