Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.341576
2001,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.308954
2002,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.289326
2003,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.305342
2004,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.339587
2005,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.437616
2006,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.45001
2007,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.428789
2008,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.490397
2009,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.359183
2010,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.372992
2011,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.400895
2012,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.388369
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.342944
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.315896
2015,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.209273
2016,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.187075
2017,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.198395
2018,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.213816
2019,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.185772
2020,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.124262
2021,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.173258
2022,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.264004
2023,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,12,PT,2025-03-19T00:00:00,2023,0.23545
2000,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.059791
2001,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.059668
2002,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.079556
2003,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.08278
2004,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.080496
2005,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.092991
2006,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.084218
2007,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.077983
2008,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.085071
2009,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.07994
2010,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.087297
2011,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.080295
2012,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.081076
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.076873
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.067444
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.068575
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,12,PT,2025-03-19T00:00:00,2023,0.06706
