Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2010,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),5707013
2011,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),5901750
2012,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),2996766
2013,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),2632821
2014,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),5809768
2015,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),4735950
2016,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),3496052
2017,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),8354017
2018,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),7114081
2019,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),4328008
2020,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),6183937
2021,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),3939583
2022,SG_STT_CAPTY,231,USD,2025-05-09T00:00:00,A,0,2022,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),12764718
