Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,0.5
2001,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,0.6
2002,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,1.6
2003,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,2.2
2004,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,4.6
2005,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,5.8
2006,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,7.4
2007,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,9.5
2008,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,10.2
2009,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,11.2
2010,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,12.5
2011,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,14.9
2012,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,18.2
2013,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,22.5
2014,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,29.5
2015,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,38.2
2016,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,42.9
2017,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,47.7
2018,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,49.0
2019,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,55.8
2020,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,63.5
2021,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,72.2
2022,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,74.8
2023,A,0,ITU estimate.,IT_USE_II99,12,None,PT,2025-03-08T00:00:00,2023,Aged 15 and older.,76.9
2018,A,0,"Ministry of Post, Telecommunications, Technologies and Digital",IT_USE_II99,12,F,PT,2025-03-08T00:00:00,2018,Aged 15 and older.,42.9
2018,A,0,"Ministry of Post, Telecommunications, Technologies and Digital",IT_USE_II99,12,M,PT,2025-03-08T00:00:00,2018,Aged 15 and older.,55.1
