Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2001,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,43.39
2002,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,39.4
2003,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,37.97
2004,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,39.39
2005,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,41.93
2006,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,43.3
2007,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,43.04
2008,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,46.01
2009,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,46.72
2010,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,42.21
2011,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,41.25
2012,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,44.33
2013,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,41.24
2014,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,38.52
2015,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,36.06
2016,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,34.7
2017,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,33.78
2018,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,31.22
2019,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,33.63
2020,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,35.56
2021,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,37.58
2022,AG_PRD_AGVAS,231,PT,2025-03-21T00:00:00,E,0,2023,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,37.64
