Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",92.2
2001,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",88.7
2002,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",85.1
2003,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",81.6
2004,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",77.9
2005,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",74.4
2006,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",70.9
2007,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",67.7
2008,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",64.7
2009,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",61.9
2010,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",59.3
2011,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",56.8
2012,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",54.5
2013,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",52.2
2014,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",50.1
2015,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",48.0
2016,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",46.0
2017,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",44.2
2018,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",42.5
2019,SH_DYN_IMRT,231,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,A,0,2023,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",41.0
