Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,75
2001,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,73
2002,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,74
2003,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,76
2004,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,76
2005,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,80
2006,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,79
2007,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,78
2008,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,74
2009,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,77
2010,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,78
2011,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,73
2012,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,73
2013,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,68
2014,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,72
2015,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,75
2016,A,0,Data extracted as of 2025-01-07 based on data originally compiled for the 2024 WHO Global TB Report,64,33,WHO Global Tuberculosis Report 2024 (https://www.who.int/teams/global-tuberculosis-programme/data),SH_TBS_INCD,12,PER_100000_POP,2025-01-17T00:00:00,2023,70
