Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,SH_DTH_NCOM,231,None,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",23.7,11.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",25.3
2005,SH_DTH_NCOM,231,None,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",23.7,11.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",21.8
2010,SH_DTH_NCOM,231,None,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",23.7,11.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",18.8
2015,SH_DTH_NCOM,231,None,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",23.7,11.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",17.2
2019,SH_DTH_NCOM,231,None,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",23.7,11.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",17.2
2020,SH_DTH_NCOM,231,None,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",23.7,11.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",17.3
2021,SH_DTH_NCOM,231,None,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",23.7,11.2,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",16.8
2000,SH_DTH_NCOM,231,F,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",24,11.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",26.1
2005,SH_DTH_NCOM,231,F,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",24,11.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",22.2
2010,SH_DTH_NCOM,231,F,Y30T69,PT,2024-12-12T00:00:00,A,0,2021,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution. Data was previously disseminated with a different age group. The age group has been corrected in December 2024.",24,11.3,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",18.8
