Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.38691
2001,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.38691
2002,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.41281
2003,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.4629
2004,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.50828
2005,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.50275
2006,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.47629
2007,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.44259
2008,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.4505
2009,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.45522
2010,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.45615
2011,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.46784
2012,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.49804
2013,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.52854
2014,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.53393
2015,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.52976
2016,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.51674
2017,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.5318
2018,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.53668
2019,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.50938
2020,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.47646
2021,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.45506
2022,A,0,,0.81635,0.18586,WHO Global Information System on Alcohol and Health (GISAH),SH_ALC_CONSPT,12,Y_GE15,LITRES_PURE_ALCOHOL,2025-05-20T00:00:00,2022,0.45506
