Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,Value
2000,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,15.3
2005,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,28.2
2010,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,50.8
2014,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,53.9
2015,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,59.8
2016,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,61.2
2017,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,60.1
2018,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,63.6
2019,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,63.6
2020,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,62.6
2021,SH_FPL_MTMM,231,F,Y15T49,PT,2025-03-12T00:00:00,A,0,2021-2022,Ethiopia 2021 PMA Cross Sectional,Lactational amenorrhea (LAM) treated as a traditional method.,60.6
