Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,Value
2000,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,30.0
2001,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,32.0
2002,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,35.0
2003,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,37.0
2004,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,40.0
2005,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,44.0
2006,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,46.0
2007,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,50.0
2008,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,54.0
2009,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,58.0
2010,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,61.0
2011,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,65.0
2012,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,62.0
2013,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,59.0
2014,SH_ACS_DTP3,231,PT,2025-03-26T00:00:00,A,0,2023,"WHO/UNICEF coverage estimates 2023 revision, July 2024",,61.0
