Year,SERIES,REF_AREA,SEX,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2003,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.26
2004,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.26
2005,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.31
2006,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.26
2007,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.22
2008,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.24
2009,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.25
2018,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.75
2019,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",0.89
2020,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.02
2021,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.0
2022,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.05
2023,SH_MED_DEN,231,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,A,0,2023,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.43
2003,SH_MED_DEN,231,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,A,0,2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.93
2004,SH_MED_DEN,231,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,A,0,2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",2.04
2005,SH_MED_DEN,231,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,A,0,2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",2.4
2006,SH_MED_DEN,231,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,A,0,2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",2.21
2007,SH_MED_DEN,231,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,A,0,2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",2.18
2008,SH_MED_DEN,231,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,A,0,2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",1.96
2009,SH_MED_DEN,231,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,A,0,2022,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",2.44
