Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,93.04751
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.94113
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,95.64435
2024,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.07911
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,98.45136
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,98.20857
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,100.0
2015,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,AGG_2_3,PT,2025-03-05T00:00:00,2023,72.19635
2020,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,AGG_2_3,PT,2025-03-05T00:00:00,2023,87.24861
2023,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,AGG_2_3,PT,2025-03-05T00:00:00,2023,99.1306
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,56.96625
2023,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,61.85407
2024,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,60.98387
2020,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,86.86885
2023,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,99.42418
2020,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,88.03333
2023,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,98.71766
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.28628
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.30611
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.71546
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.79583
2024,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,99.8664
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,99.43539
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_2,PT,2025-03-05T00:00:00,2023,99.96801
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,98.83333
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,12,ISCED11_3,PT,2025-03-05T00:00:00,2023,99.95501
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,88.73029
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,88.748
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,88.35852
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_H2O,12,ISCED11_1,PT,2025-03-05T00:00:00,2024,100.0
