Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2008,SE_TRA_GRDL,231,None,AGG_2_3,PT,2025-03-05T00:00:00,A,0,2010,Source: UIS Dynamic template based on UIS Education Survey Data extracted on 25 February 2025.,64.0967
2010,SE_TRA_GRDL,231,None,AGG_2_3,PT,2025-03-05T00:00:00,A,0,2010,Source: UIS Dynamic template based on UIS Education Survey Data extracted on 25 February 2025.,48.05652
2000,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,61.19561
2001,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,62.1033
2002,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,63.16649
2003,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,69.13348
2004,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,73.97607
2005,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,78.73037
2006,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,76.12433
2007,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,66.15941
2008,SE_TRA_GRDL,231,None,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,71.07413
2008,SE_TRA_GRDL,231,None,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,89.71701
2009,SE_TRA_GRDL,231,None,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,84.60987
2008,SE_TRA_GRDL,231,None,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,64.62772
2009,SE_TRA_GRDL,231,None,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,73.3754
2010,SE_TRA_GRDL,231,None,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,53.50435
2011,SE_TRA_GRDL,231,None,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,65.81457
2008,SE_TRA_GRDL,231,None,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,61.66667
2009,SE_TRA_GRDL,231,None,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,74.50454
2012,SE_TRA_GRDL,231,None,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,86.43491
2015,SE_TRA_GRDL,231,None,ISCED11_3,PT,2025-03-05T00:00:00,A,0,2015,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,100.0
2008,SE_TRA_GRDL,231,F,AGG_2_3,PT,2025-03-05T00:00:00,A,0,2010,Source: UIS Dynamic template based on UIS Education Survey Data extracted on 25 February 2025.,66.94674
2010,SE_TRA_GRDL,231,F,AGG_2_3,PT,2025-03-05T00:00:00,A,0,2010,Source: UIS Dynamic template based on UIS Education Survey Data extracted on 25 February 2025.,44.94846
2000,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,62.01139
2001,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,62.79933
2002,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,64.16115
2003,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,70.49924
2004,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,75.42567
2005,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,79.73231
2006,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,95.18775
2007,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,99.91895
2008,SE_TRA_GRDL,231,F,ISCED11_02,PT,2025-03-05T00:00:00,A,0,2008,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,99.93948
2008,SE_TRA_GRDL,231,F,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,93.50965
2009,SE_TRA_GRDL,231,F,ISCED11_1,PT,2025-03-05T00:00:00,A,0,2009,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,88.92908
2008,SE_TRA_GRDL,231,F,ISCED11_2,PT,2025-03-05T00:00:00,A,0,2011,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,69.6972
