Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,F,Y_GE12,None,PT,2025-03-13T00:00:00,2012,21.66667
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,F,Y_GE12,R,PT,2025-03-13T00:00:00,2012,22.91667
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,F,Y_GE12,U,PT,2025-03-13T00:00:00,2012,20.83333
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,F,Y15T24,None,PT,2025-03-13T00:00:00,2012,28.33333
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,M,Y_GE12,None,PT,2025-03-13T00:00:00,2012,3.75
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,M,Y_GE12,R,PT,2025-03-13T00:00:00,2012,3.33333
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,M,Y_GE12,U,PT,2025-03-13T00:00:00,2012,3.75
2012,A,0,Travel related to unpaid domestic and care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPD,12,M,Y15T24,None,PT,2025-03-13T00:00:00,2012,3.75
2012,A,0,Travel related to unpaid care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPDCW,12,F,Y_GE12,None,PT,2025-03-13T00:00:00,2012,2.08333
2012,A,0,Travel related to unpaid care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPDCW,12,F,Y_GE12,R,PT,2025-03-13T00:00:00,2012,2.08333
2012,A,0,Travel related to unpaid care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPDCW,12,F,Y_GE12,U,PT,2025-03-13T00:00:00,2012,2.08333
2012,A,0,Travel related to unpaid care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPDCW,12,F,Y15T24,None,PT,2025-03-13T00:00:00,2012,3.33333
2012,A,0,Travel related to unpaid care work is not included.,Calculated by UNSD based on available country data from the National Survey on time use of Algerians – ENET 2012 to apply ICATUS.,SL_DOM_TSPDCW,12,M,Y_GE12,None,PT,2025-03-13T00:00:00,2012,0.83333
