Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2002,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.86
2003,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.65
2004,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.58
2005,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.54
2006,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.64
2007,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.78
2008,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.83
2009,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),1.96
2010,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.23
2011,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.49
2012,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.49
2013,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),2.84
2014,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),3.2
2015,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),3.6
2016,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),3.89
2017,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),4.37
2018,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),4.92
2019,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),5.2
2020,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),5.35
2021,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),5.52
2022,ER_H2O_WUEYST,231,None,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),5.9
2002,ER_H2O_WUEYST,231,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.07
2003,ER_H2O_WUEYST,231,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),0.06
