Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,79.26
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,81.71
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,85.04
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,87.52
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,90.01
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,92.49
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,94.98
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,97.46
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,99.95
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,102.44
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,104.92
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,107.41
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,109.75
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,115.16
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,120.58
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,125.99
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,129.87
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,137.92
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,141.8
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,145.68
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,149.56
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,140.59
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,None,PT,2025-03-21T00:00:00,2018-2022,144.81
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,48.1
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,49.13
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,51.04
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,52.43
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,53.84
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,55.24
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,56.64
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,58.05
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,59.45
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,60.86
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,62.27
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,63.68
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,65.0
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,70.95
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,76.93
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,82.96
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,83.3
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,87.94
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,91.4
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,94.86
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,98.32
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,94.41
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_A01_A0210_A0322,PT,2025-03-21T00:00:00,2018-2022,97.65
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,7.01
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.92
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.82
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_STRESS,12,ISIC4_BTFXE,PT,2025-03-21T00:00:00,2018-2022,6.65
