Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,96.5
2001,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,97.0
2002,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,97.45
2003,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,97.8
2004,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,98.1
2005,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,98.4
2006,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,98.6
2007,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,98.8
2008,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.0
2009,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.2
2010,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.2
2011,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.3
2012,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.4
2013,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.5
2014,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.5
2015,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.6
2016,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.6
2017,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.6
2018,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.7
2019,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.7
2020,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.7
2021,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.7
2022,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.7
2023,A,0,100,93.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,None,PT,2025-06-18T00:00:00,2023,99.7
2000,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,92.6
2001,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,93.4
2002,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,94.1
2003,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,94.8
2004,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,95.4
2005,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,95.9
2006,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,96.3
2007,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,96.7
2008,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,97.1
2009,A,0,100,88.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,12,R,PT,2025-06-18T00:00:00,2023,97.4
