Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,6.01752
2001,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,6.87387
2002,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,6.66778
2003,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,6.92986
2004,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,9.48576
2005,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,9.20854
2006,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,8.94199
2007,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,8.68379
2008,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,8.43605
2009,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,16.38128
2010,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,21.00416
2011,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,22.33081
2012,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,21.72186
2013,EG_EGY_RNEW,231,None,W_PER_CAPITA,2025-03-11T00:00:00,A,0,2023,Year-end value for installed capacity (watts) and mid-year for population,Renewable electricity generating capacity from IRENA's electricity capacity database. Population data from the United Nations World Population Prospects.,22.59601
