Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2014,FB_BNK_ACCSS,231,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",21.7915818095207
2017,FB_BNK_ACCSS,231,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",34.8275691270828
2022,FB_BNK_ACCSS,231,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",46.480068564415
2014,FB_BNK_ACCSS,231,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",19.3670973181725
2017,FB_BNK_ACCSS,231,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",29.5722723007202
2022,FB_BNK_ACCSS,231,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",38.9729380607605
2014,FB_BNK_ACCSS,231,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",37.2036248445511
2017,FB_BNK_ACCSS,231,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",65.0437891483307
2022,FB_BNK_ACCSS,231,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",79.8790395259857
2014,FB_BNK_ACCSS,231,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",15.0082156062126
2017,FB_BNK_ACCSS,231,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",22.4122762680054
2022,FB_BNK_ACCSS,231,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",34.6932351589203
2014,FB_BNK_ACCSS,231,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",26.2639194726944
2017,FB_BNK_ACCSS,231,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",43.0952727794647
2022,FB_BNK_ACCSS,231,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",54.2817175388336
2022,FB_BNK_ACCSS,231,None,Y_GE15,R,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",37.3826205730438
2022,FB_BNK_ACCSS,231,None,Y_GE15,U,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",49.8716771602631
2014,FB_BNK_ACCSS,231,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,A,0,2022,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",25.5881398916245
