Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,ICAO,IS_RDP_FRGVOL,12,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,24803750.0
2018,A,0,ICAO,IS_RDP_FRGVOL,12,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,28280480.0
2019,A,0,ICAO,IS_RDP_FRGVOL,12,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,25641745.0
2020,A,0,ICAO,IS_RDP_FRGVOL,12,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,15638799.0
2021,A,0,ICAO,IS_RDP_FRGVOL,12,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,12694836.0
2022,A,0,ICAO,IS_RDP_FRGVOL,12,MOT_AIR,T_KM,2025-04-07T00:00:00,2022,8583081.0
2017,A,0,ICAO,IS_RDP_PFVOL,12,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,7589833090.0
2018,A,0,ICAO,IS_RDP_PFVOL,12,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,7879477420.0
2019,A,0,ICAO,IS_RDP_PFVOL,12,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,8189868280.0
2020,A,0,ICAO,IS_RDP_PFVOL,12,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,1700188100.0
2021,A,0,ICAO,IS_RDP_PFVOL,12,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,1668921610.0
2022,A,0,ICAO,IS_RDP_PFVOL,12,MOT_AIR,P_KM,2025-04-07T00:00:00,2022,9267711099.912
2010,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1198828.0
2011,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1309432.0
2012,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1400495.0
2013,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1508774.0
2014,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1660660.0
2015,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1694426.0
2016,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1832268.0
2017,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1726410.0
2018,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1844422.0
2019,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1793990.0
2020,A,0,UNCTADstat. Data compiled by UNCTAD.,IS_RDP_PORFVOL,12,MOT_SEA,TEU,2025-03-05T00:00:00,2020,1551565.0
