Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,BASE_PER,Value
2000,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,3.2
2001,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.04
2002,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.21
2003,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.57
2004,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.81
2005,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.43
2006,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,4.73
2007,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.33
2008,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.79
2009,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.89
2010,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,5.85
2011,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,6.76
2012,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,7.17
2013,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,8.39
2014,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,10.01
2015,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,10.11
2016,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,11.88
2017,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,11.62
2018,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,13.04
2019,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,14.45
2020,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,13.53
2021,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,14.86
2022,EN_ATM_CO2,231,None,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,14.64
2000,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,0.79
2001,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,0.96
2002,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.0
2003,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,0.95
2004,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.11
2005,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.15
2006,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.23
2007,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.34
2008,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.39
2009,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.37
2010,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,1.74
2011,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,2.47
2012,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,2.34
2013,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,2.94
2014,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,3.88
2015,EN_ATM_CO2,231,ISIC4_C10T32X19,T,2025-02-19T00:00:00,A,6,2022,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,3.57
